row	stimulus	all_responses
285	ababab,aabaabaab,aaabaaabaaab,aaaabaaaabaaaab,aaaaabaaaaabaaaaab,aaaaaabaaaaaabaaaaaab,aaaaaaabaaaaaaabaaaaaaab,aaaaaaaabaaaaaaaabaaaaaaaab,aaaaaaaaabaaaaaaaaabaaaaaaaaab	aaaaaaaaaabaaaaaaaaaabaaaaaaaaaab:49,aaaaaaaaaab:3,bbbbbbbbbcbbbbbbbbbcbbbbbbbbbc:2,aaaaaaaaaabaaaaaaaaaabaaaaaaaaaaab:1,aaaaaaaaaaabaaaaaaaaaaab:1,aaaaaaaaaaabaaaaaaaaaaabaaaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaabaaaaaaaaab:1,aaaaaaaaab:1,aaaaaaaaabaaaaaaaaabaaaaaaaaabaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaaabaaaaaaaaaaab:1,aaaaaaaaabaaaaaaaaab:1,accccca:1,aaaaaaaaaabaaaaaaaaaabaaaaaaaaaa:1,aaaaaaaaabaaaaaaaaaabaaaaaaaaaab:1,aaaaaaaabaaaaaaaaabaaaaaaaaab:1,bababababa:1,aaaaaaaaa:1,aaaaaaaaaabaaaaaaaaabaaaaaaaaab:1,abababababab:1,ccbcbacacbaccccbcbacaaabcbbcacac:1,aaaaaaaaaaaaaaaaabaaaaaaaaaabaaaaaaaaaaaab:1,baabaa:1,aaaaaaaaaaabaaaaaaaaaaabaaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaaabaaaaaaaaab:1,aaaabbaaabbbabbabbabba:1,aaaabbb:1,aaaaaabaaabaaaba:1,aaaaaaaaaaaaabbb:1,aaaaaaaaaabaaaaaaaaabaaaaaaaab:1,aaaaaaaaaaaabaaaaaaaaaaaaaaaabaaaaaaaaaaaaaa:1,ccccccccccbcccccccccbccccccccb:1
286	ababab,aabaabaab,aaabaaabaaab,aaaabaaaabaaaab,aaaaabaaaaabaaaaab,aaaaaabaaaaaabaaaaaab,aaaaaaabaaaaaaabaaaaaaab,aaaaaaaabaaaaaaaabaaaaaaaab,aaaaaaaaabaaaaaaaaabaaaaaaaaab,aaaaaaaaaabaaaaaaaaaabaaaaaaaaaab	aaaaaaaaaaabaaaaaaaaaaabaaaaaaaaaaab:51,aaaaaaaaaaaabaaaaaaaaaaaabaaaaaaaaaaab:2,aaaaaaaaaaabaaaaaaaaaabaaaaaaaaaab:2,aaaaaaaaaaaabaaaaaaaaaaaab:1,aaaaaaaaaaaabaaaaaaaaaaaabaaaaaaaaaaaab:1,aaaaaaaaaaaaab:1,aaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaabaaaaaaaaaabaaaaaaaaaab:1,aaaaaaaaaaabaaaaaaaaaabaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaab:1,abccccccaaaaaaaba:1,bbbbbbbbbbcbbbbbbbbbbcbbbbbbbbbbc:1,aaaaaaaaaaaaabaaaaaaaaaaabaaaaaaaaaaaab:1,aaaaaaaaaabaaaaaaaaaabaaaaaaaaab:1,abababa:1,aaaaaaaaaaabaaaaaaaaaabaaaaaaaaaaab:1,aaaaaaaaaa:1,abaaaaab:1,ccbbcbbcbcbcacaacbbcaaabc:1,aaaaaaaaaaabaaaaaaaaaabaaaab:1,aaaaaaaaaaab:1,ababba:1,aaaaaaaaaabaaaaaaaaaaabaaaaaaaaaaab:1,ababababac:1,aaabaaabaaabaaba:1,aaaaaaaaaaaab:1,aaabbb:1,aaaaaaaaaaaaaab:1,baaaaaaaaaaaaaaaaabaaaaaaaaaaaaaaabaaaaaaaaaaaaaaaa:1,baaaaabaaaaaaaaabaaaaaaaaaabaaaaa:1
287	ababccc	ababcccc:15,ababccca:6,abababcccc:4,acacbbb:3,abababccc:3,aababccc:3,cccabab:2,abacccc:2,abc:2,bcbcaaa:2,ababaaa:2,cacabbb:2,ababcccab:2,ababccccc:2,ababcc:2,ababaccc:2,ababcca:2,bbabccc:2,babcbbb:1,aabcbaba:1,abba:1,cababccc:1,abaccca:1,a:1,c:1,acacaaa:1,bcabaccc:1,acaa:1,ac:1,babaccc:1,ababaabababab:1,abaabccc:1,babccc:1,ab:1,aaaaaaa:1,abbbbcca:1,abaac:1,ababbccc:1,babbccc:1,abac:1,ba:1,ababacc:1,bbaacc:1,ababab:1,abbabccc:1,ababcccaa:1
288	ababccc,abbabbccc	abbbabbbccc:36,abbbabbbcccc:3,abbabbcccc:3,abbabbccca:3,abbbabbccc:2,aabbaabbccc:2,abbabcccc:2,abc:2,aabaabccc:1,accaccbbbb:1,abcbabbab:1,abbacc:1,abbbacacac:1,bccbccaaa:1,abbbabbcccc:1,abbabbbcc:1,ababbcc:1,aaabbbaaabbbcccc:1,abababaccc:1,abbabbcccabb:1,b:1,cc:1,aabbaabbcccc:1,abbabbaccc:1,acba:1,ababbbcccc:1,acb:1,accaccbbb:1,ababccca:1,ababababccc:1,cccbbab:1,abbabbbaaaaaa:1,abbbbaaa:1,aabbaccc:1,baabbabbccc:1,ababababcccc:1,abbac:1,aa:1,abbabbca:1,ababc:1,abbaabbccc:1
289	ababccc,abbabbccc,aabaabccc	aabbaabbccc:14,aaabaaabccc:10,ababcccccc:3,aabbaabccc:2,aabbbaabbbccc:2,aaaaaaccc:2,aabbcc:2,aaabbaaabbccc:2,bbbbbbccc:2,aaabaabccc:2,aaabbbccc:2,abababccc:1,abbcababcab:1,aabaaccccc:1,abacbacb:1,bbbacabbb:1,bbcbbcaaa:1,abbabbbccc:1,ababccccc:1,aababbccc:1,abaaacccc:1,ababcccc:1,aabaabcccaaab:1,aa:1,aabbbabbbccc:1,abbaabcccca:1,aabaabccb:1,aabbabbbccc:1,ccc:1,aacaacbbb:1,aabaabbccc:1,aaabbaabbccc:1,aca:1,ccaccaccc:1,abcabcaa:1,aabaabcccccc:1,ababababaccc:1,cacacacac:1,aabaabcccab:1,ababca:1,bbabbabbccc:1,abbbca:1,aaabbaccc:1,abbabcccc:1,bbaa:1,ababc:1,aabbaabb:1,a:1,abbabbcbc:1,aababccc:1,abbabbcca:1,bbacba:1,abbbabbbcccc:1,abbabbcc:1
290	ababccc,abbabbccc,aabaabccc,aabbaabbccc	aaabbbaaabbbccc:15,aaabbaaabbccc:10,aaabaaabccc:8,aabbbaabbbccc:6,aabbbaabbccc:3,bbccbbccaaa:2,aaabbaabbccc:1,babaccc:1,aabcbababcba:1,abaabaccccc:1,aacccbbac:1,aababbabbabba:1,aabbaaabbbccc:1,abbaabbcc:1,aabbaabbbcc:1,aabbaabbcc:1,aabbabbccc:1,aabbaabbccaa:1,aabb:1,aabbaabbcccc:1,aabbaaccbbb:1,aabbaabbabccc:1,cccc:1,aabbbaaabbbccc:1,aabaaabccc:1,bac:1,aaabbbaaabbccc:1,aaccbb:1,ccaaccaabbb:1,abbaaabbb:1,aababbabccc:1,bbbaaabbaab:1,aabaabcccc:1,aabbbbaabbbbccc:1,aabbaabccca:1,aabbaabbaabb:1,abbbccabab:1,aaabaabccc:1,abbbabbbccccc:1,aaabbbccc:1,abcabcabac:1,aababcc:1,aabbaaccc:1,babac:1,aaabaabbccc:1,abbbaabbccc:1,abbbabbbccc:1,bacabc:1
291	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc	aaabbbaaabbbccc:10,aaabbaaabbccc:10,aaaabaaaabccc:6,aabbbaabbbccc:3,aaaabbaaaabbccc:3,abbbabbbcccc:2,bbbcbbbcaaa:2,aaabbaaaabbccc:2,aaabaaabcccc:2,aaaabaaabccc:2,aaabaaaabccc:1,ababababccc:1,aaabbaabbccc:1,abbabcbaba:1,ababaaabbccc:1,aaabbacccaa:1,ababbbbaaba:1,aaaabbabccc:1,aaabbaaabcccc:1,aabbbaabbbcccc:1,aaabbbccc:1,aababcc:1,abbbabbbccc:1,ababaabccc:1,aaabaaabcccaaabb:1,aaba:1,aabbaabbccb:1,ccccc:1,aaabbaaabbcc:1,aabbaaabbccc:1,aabbbbaabbbccc:1,baca:1,bbccaa:1,bbbcbbbaccc:1,aabbcaabbbccc:1,abbbabbaccc:1,ababaaababa:1,abababccc:1,aaaabbbbaaaabbbbccc:1,bbaaccbbaa:1,aaabaaaabcccc:1,aaaabaabccc:1,aabbaabb:1,abbbcccabab:1,aaaabbaaccc:1,aaaabaaaabcccc:1,abc:1,aabaabcc:1,abccc:1,aaa:1,aaaabbbbaaabba:1,aabbaabbccca:1,bbacaa:1,abbbabbbabccc:1
292	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc,aaaabaaaabccc	aaaaabaaaaabccc:25,aaaabbaaaabbccc:11,abbbbabbbbccc:3,aaaaabaaaaabcccc:3,aaaaabaaaabccc:2,aaaaabbaaaaabbccc:2,aaaabbaaabbccc:2,abbbabbbccc:1,aabcbabababab:1,aaaaaabaaaaaccc:1,abbcca:1,acccabbbababab:1,bbbbcbbbbcaaa:1,aaaaabbaaaaabccc:1,aaabaabbccc:1,aaaabaaabccca:1,ababababccc:1,abbcccaa:1,aaabaaaabccaaaaa:1,aaabbaaa:1,aaacaaaaabccc:1,cccccc:1,aaabbaaaabbccc:1,aaaabbaaaabbaaaabbccc:1,aaccbb:1,aaaabbbbbcccc:1,cccbaaaabaaaa:1,aaaabbaaaabbcc:1,aaaabaaaaabccc:1,aabbaabbcc:1,aaaabbaaaabcccc:1,aaaabbbaaaabbbccc:1,abbbbcaacb:1,aaaaabaabccc:1,aaabbbaaabbbcccc:1,abcabc:1,abcbcbcaaa:1,aabaaabc:1,ababbccc:1,bbb:1,aaabbaaaabccc:1,aabbbaabbbccc:1,aabbccbb:1,abbbabbbbabccc:1,aaaabbbbaaaabbbbccc:1
293	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc,aaaabaaaabccc,aabbbaabbbccc	abbbbabbbbccc:9,aabbbbaabbbbccc:8,aaaabbbaaaabbbccc:8,aaabbbaaabbbccc:6,aaaaabaaaaabccc:4,aaabbaaabbccc:3,aaabbbbaaabbbbccc:2,aaabbbaaccc:2,aaaaaabaaaaaabccc:2,aaaaabaaaabccc:2,aababcbabacba:1,aaacccbbba:1,abababbbbb:1,bbcccbbcccaaa:1,aaaaabbbaaaaabccc:1,aaabbbbaabbbcccc:1,aaabbbaaabccc:1,abbabababcccc:1,aaabbbaaabbccc:1,abbccaabbb:1,aabbbaabbbcccaabbbb:1,aabbaaccc:1,aaaaabbaaabbbccc:1,aabbbaabbbccca:1,aabbbaabbaabb:1,ccccccc:1,ababcc:1,aabbaabbbccc:1,ccbbaa:1,aaabbbbcccc:1,cccbbbaabbbaa:1,aabbbaabbbcccc:1,aaabbbcccaaabbbccc:1,aaaabbbaaabccc:1,bbbaaacccaaa:1,aabbbbbbaaaaabbbbbacccc:1,aaaaabbaabbbcccc:1,ababa:1,aaaabbbbbaaaabbbbccc:1,aaaaabbaaaaabbccc:1,baaccaaaabab:1,aaaabaaaabccccc:1,abcbac:1,abcabcabcabacab:1,aabbaabcc:1,abbabbcccc:1,bb:1,abccaa:1,aaabbbaabbbccc:1,aabbbaaabbccc:1
294	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc,aaaabaaaabccc,aabbbaabbbccc,aaaaabaaaaabccc	aaaaaabaaaaaabccc:17,aaabbbaaabbbccc:5,aabbbbaabbbbccc:5,aaaaabbaaaaabbccc:4,aaabbbbaaabbbbccc:3,aaaabbbbaaaabbbbccc:3,aaaaaaabaaaaaaabccc:3,aaaabbaaaabbccc:2,abbbbabbbbccc:2,abbbbbabbbbccc:1,aabcbacbabbaba:1,aaaaaaabaaaaaabccc:1,abbbcccaaa:1,aaacccbbb:1,bbbbbcbbbbbcaaa:1,aaaabaaaaabcc:1,aaaaabbbaaaaabbbccc:1,aaaaabaaaaabcccc:1,abbabbabbccc:1,aaaaabaaaacbccc:1,aaaaabbbaaaaabbccc:1,aaaaabaaaaabcccaaaaa:1,aaaaabacccabccc:1,cccccccc:1,aaabaaabc:1,aaaaabbaaaaabbaaaaabbccc:1,aaaaaabaaaabccc:1,aaccbba:1,aabbbbaabbbbcc:1,aabbbbcccc:1,cccbaaaaabaaaaa:1,aaaabbaaabbcccc:1,aaabbbbaaaabbbbccc:1,aaaabbbaaaaabccc:1,bbbabbbaccca:1,aaaaaaaaaabbaaaaaaaabaaaaaccc:1,abbbbbabbbbbccc:1,ababcc:1,bbbacccabababa:1,aaaaaaabbbccc:1,aaaabbbbbaaaabbbbbccc:1,aaaacccbb:1,aaaaaabbbbcccba:1,aaabaabcc:1,abababccc:1,babb:1,aabbbbaaaaabccc:1,aaaaaabbaaaaaabbccc:1,abcab:1,abbbabbbabbbabccc:1,aabbbabbbbccc:1
295	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc,aaaabaaaabccc,aabbbaabbbccc,aaaaabaaaaabccc,aaabbbaaabbbccc	aaaabbbbaaaabbbbccc:14,aaaaaabaaaaaabccc:11,aaaabbbaaaabbbccc:5,aabbbbaabbbbccc:3,aaaaaabbaaaaaabbccc:3,aaabbbbaaabbbbccc:2,aaaaaaabaaaaaabccc:2,aabbaabbcc:2,aabcabbabab:1,abbccabbaaacc:1,abbacccabbbb:1,bbbcccbbbcccaaa:1,aaaaabaaabbbccc:1,aaaabbbaaaabbccc:1,aaaabbaaaabbcccc:1,aaabbbaaabbbcccc:1,aaaaabbbbbaaaaabbbbbccc:1,aaaaaabbbbbaaaaccc:1,aaaaaaabbaaabbccccc:1,aaabbbaaabbbcccaaa:1,ababbccc:1,aaaaabbbabbbccc:1,aaaaabaaaaabcba:1,a:1,aaaabbbaaaabbbaaaabbbccc:1,aaccbbaa:1,abc:1,cccbbbaaabbbaaa:1,aaaaabbbaaaaabbbccc:1,aaaaaabbbbbbaaaaaabbbbbbccc:1,aaaaabbaaaaabccc:1,aaccbbccaacc:1,aaabbbaaabbbaaacccaaa:1,aaabbbbbbaaabbbbbbccc:1,aaaabbaaaaaabbccc:1,aaaabbbbaaaabbbbcccc:1,aaaaaabaaaaaabcccc:1,bababaccababa:1,bbbaaacccc:1,aaaabbbbaaaabbbbccccc:1,bababababa:1,ababacaababacaba:1,aaaabbaaaabbccc:1,aaaabbbbaaacccc:1,abbaab:1,aaaaaaaabaaaaaaaabccc:1,aaaaaabaaaaabccc:1,abbbbbabbbbbccc:1,abacc:1,abbbbaabbbbccc:1,aaaaaabbbaaaaaabbbcc:1,aaabbbaaaabbbccc:1
296	ababccc,abbabbccc,aabaabccc,aabbaabbccc,aaabaaabccc,aaaabaaaabccc,aabbbaabbbccc,aaaaabaaaaabccc,aaabbbaaabbbccc,aaaaabbaaaaabbccc	aaaaabbbaaaaabbbccc:8,aaaaaabbbaaaaaabbbccc:7,aaaaaabbaaaaaabbccc:6,aaaabbbaaaabbbccc:5,aaaaaaabaaaaaaabccc:2,aaabbbbaaabbbbccc:2,aaaaabbbbaaaaabbbbccc:2,aaaaabbaaaaaabbccc:2,aabbbbaabbbbccc:2,aaaabbaaaabbccc:2,aaaaabbbaaaaabbccc:2,aaaabbbbaaaabbbbccc:2,aaaaaaaaabbaaaaaaabbccc:1,aaaaaaabaaaaaabccc:1,aaaaaaaabbaaaaaaaabbccc:1,aabcabcababa:1,aaabbaabbaabccc:1,aaabbccccaaabbba:1,aaabacabbbba:1,bbbbbccbbbbbccaaa:1,aaaabbbaaaaabbbccc:1,aaaabbbbaaabbbccc:1,aaaaabbaaaaabbcccc:1,aabbbababaccc:1,aabbaaabbbbccc:1,aaaaabbaaaaabbcccaaaaa:1,aaabaaabbaaaa:1,aa:1,aaaaaaabbaaaaaaabbccc:1,aaaaabbbaaaaabbbaaaaabbbccc:1,aaacccbb:1,aaaccccbbbb:1,cccbbaaaaabbaaaaa:1,aaaaaaaabaaaaaaaabccc:1,aaabbbbbaaabbbbbccc:1,aabbbbbbaabbbbbbccc:1,aaaaabbaaaaaaabbcccc:1,aaaaaabbbaaaaaabbccc:1,aaabbbcccaaabb:1,aaaabbaaaacaaccccccaa:1,aaabbbbaaabbccc:1,aaaaaaaaaabbaaaaaabbccc:1,aabbcc:1,aaaaaabbaabababa:1,aabbaaccc:1,aaaaaabaaaaaabcccc:1,aaaaabaaaabaaaacccc:1,aaabbaaabbc:1,aaaabbbbaccc:1,baabbccc:1,aaaaabbbaaaabbbccc:1,aaaaaaaaabaaaaaaaaabccc:1,aaaaaabbaaaaabbccc:1,abcacac:1,aaaaabbbaaaaaabbbccc:1,aaaabbaabbbbccc:1
297	abb	abbb:71,abba:49,acc:46,aabb:40,aab:37,bba:37,bcc:36,abbc:27,baa:21,abc:15,bab:12,a:11,aba:10,ab:9,abbabb:8,caa:8,bbb:7,aabbb:5,cbb:4,bbc:3,abbccc:3,cca:3,abbba:2,ccc:2,bb:2,ba:2,abbbb:2,aaa:2,cab:1,ccb:1,acb:1,aaabbbb:1,aaababb:1,aa:1,cc:1,bac:1,abbab:1,ac:1,bbca:1,aaaaacccccccbbbbbb:1,abbcc:1,aaaaa:1,aaaaaa:1,cb:1,aabbcc:1,bbbbbbbbaaaaa:1,abbbbbbbbb:1,accab:1,aca:1,b:1,bababa:1,cacaca:1
298	abb,aab	aaa:21,aabb:12,aba:9,bba:6,aac:5,bbc:4,baa:4,abc:2,aaba:2,bab:2,aaab:2,aabbaa:1,aaaa:1,aabbbabab:1,abbbaa:1,abbb:1,bbccaa:1,acc:1,ac:1,ccb:1,b:1,ba:1,abba:1,cca:1
299	abb,aab,abbb	aaab:13,aabb:12,abbbb:10,aabbb:5,bccc:4,bbbb:4,bbba:4,abbba:4,aaabb:3,baaa:3,aabbbb:2,abba:2,bbb:2,accc:2,abababa:1,cca:1,baa:1,aaabbabbab:1,ccc:1,aaccaa:1,acb:1,aaabbb:1,aba:1,c:1,a:1,acc:1
300	abb,aab,abbb,aaab	abbbb:24,bbba:6,aaabb:5,aabbb:3,bbbc:3,baaa:3,aaaab:3,abbbbb:3,aabb:3,bbbba:2,aaac:2,abba:2,aaaba:2,ababab:2,abab:2,cbb:1,cab:1,aaababbabba:1,acc:1,aaaaab:1,c:1,aaabbbb:1,aabbcc:1,cba:1,abbabb:1,baab:1,aaaa:1,bb:1,aaabbb:1,aa:1,ab:1,bbbaa:1
301	abb,aab,abbb,aaab,aabbb	aaabbb:15,aaaab:11,aaabb:9,bbbaa:5,bbaaa:4,aabbbb:4,bbccc:3,abbbb:3,aaa:2,aabba:2,aaabbbb:2,aabc:1,ababab:1,aaabbbbb:1,baabbb:1,aabb:1,abbbbb:1,aabbbbba:1,cccb:1,abbab:1,aabbbbb:1,ccaabb:1,aabab:1,ccbbb:1,abbabbab:1,baabba:1,abbbbbb:1,cc:1,aaaaab:1,aaaabbbb:1,bba:1,aaccc:1,cacaca:1
302	abb,aab,abbb,aaab,aabbb,abbbb	abbbbb:8,aaaab:7,aaabb:6,baaaa:5,aabbbb:5,aabbbbb:4,bcccc:3,aaaaab:3,abbba:3,bbbba:2,abbbbbb:2,aaaabb:2,bbbbb:2,bbca:1,ababa:1,bca:1,aaabbbbbb:1,aaaaaa:1,bbbb:1,bbbbba:1,abbbabb:1,ababba:1,abbab:1,aaabbbbb:1,aaaaabbb:1,aabb:1,aaabbbb:1,bbccaaa:1,bbaba:1,abbbc:1,caaaa:1,aaaabbbb:1,babbabb:1,abaaa:1,aa:1,ccb:1,abbbab:1,ababbb:1,bbbaa:1,aaabbaa:1,acccc:1,acaca:1,aaabbbbbaa:1
303	abb,aab,abbb,aaab,aabbb,abbbb,aaaabb	aaabbb:14,aaabbbb:7,aabbbb:5,abbbbb:5,aaaabbb:5,bbbbcc:4,bbbbaa:4,aaaaabb:4,aaaaab:3,bbaaaa:3,abbbbbb:2,abababab:1,ccab:1,aaaaabbbb:1,aaaaabbbbbb:1,baaaabba:1,aaaaba:1,abbbbbbbbb:1,abbbbabba:1,aabbbaa:1,abbbab:1,bc:1,aaabbbbb:1,acab:1,aacba:1,aaabbbaaabbb:1,abbaab:1,baabb:1,abbbbaa:1,bbb:1,aaaaaaabbbbbbb:1,bbc:1,aaaabbbb:1,aaaacc:1,bbac:1,aaaaaaabbbb:1,aaaaaaab:1
304	abb,aab,abbb,aaab,aabbb,abbbb,aaaabb,aabbbb	aaabbbb:8,abbbbb:8,aaaaabb:5,aabbbbb:5,abbbbbb:4,bbcccc:3,aaaaabbb:3,aaaaab:2,aaaabbb:2,bbbbaa:2,bbaaaa:2,bbbbaaaa:1,aabcc:1,bbbaaa:1,bbbbbaa:1,aaaaabbbbbbbb:1,bbbbbbaaa:1,baabbbbaa:1,abbbc:1,aabbbba:1,aaabbbbbb:1,aaabbb:1,abbba:1,abbbbbbbaaaaa:1,aabbaaa:1,bbbaaaa:1,abbc:1,aabbbbbb:1,bbbbbb:1,aaaaabbbbb:1,bbccaaac:1,aaaaaab:1,aaaabbbbb:1,cbabaa:1,ccaaaa:1,ababaabb:1,aabbaabb:1,bbabbb:1,abbaaba:1,ccc:1,bbaaaaa:1,aaaaaaaaabbbbbbbbb:1,baa:1,aaabbbbb:1,abba:1,aacccc:1,ccba:1,abbbbaa:1,aabbbbbbb:1
305	abb,aab,abbb,aaab,aabbb,abbbb,aaaabb,aabbbb,aaaaabb	aaabbbb:10,aabbbbb:7,aaaabbbb:6,aaabbbbb:4,aaaaabbb:4,bbbbbcc:3,aaaabbb:3,bbbbbaa:3,aaaaaabb:2,bbaaaaa:2,aaaaabbbbb:2,aaaaaabba:2,aabbbbbbb:2,aabbbbbb:2,bababababababababababa:1,bbaac:1,bbaa:1,bababa:1,aaaaaaabbb:1,ababbbb:1,aabbbbba:1,bbaaaaabb:1,aaaaabab:1,abbbbbabbbbaaaa:1,abbbaa:1,ccca:1,bbbbbaaa:1,aaaaaabbb:1,aaabbbbbbb:1,bcaacc:1,aaaaaab:1,cccccbb:1,aabbaabbbb:1,abbbbbbb:1,baabaab:1,aabaabaa:1,bbbb:1,abbbbbb:1,aaaaaaaaaaaabbbbbbbbbbbb:1,aac:1,aaaaab:1,aaaabbbbb:1,aaaaacc:1,cbbc:1
306	abb,aab,abbb,aaab,aabbb,abbbb,aaaabb,aabbbb,aaaaabb,aaaaaab	aaaaaaa:8,aaaaaabb:6,aabbbbbb:5,abbbbbb:5,aaaaaaab:5,aaaabbb:3,bbbbbbc:3,aaaabbbb:3,aabbc:2,aaabbbbbb:2,bbbbbbba:2,aabbbbb:2,baaaaaa:2,bbbbbba:2,aaaaabbbb:2,aaabbbb:2,aaaaaac:2,bbaa:1,aaaaaaabb:1,aaaaaabbbbbbbb:1,aaabbbbb:1,bbaaaaaaaa:1,baaaaaab:1,aaaaaaaab:1,aaaabbbbb:1,aaaaaaaa:1,aaaaab:1,bbbbbbbbbbbbba:1,aabbbbbbb:1,aaaaaaaabbbb:1,bcacb:1,abbbbbbbb:1,aaaab:1,aaaaaabab:1,aaaaabbb:1,babbaa:1,aaabbb:1,aaa:1,abbbbbbbbbbbbbbbbbbbbb:1,cca:1,aaaaabbbbbb:1,aaaaaa:1,aaaaaaaaa:1
307	abb,aabbbb	aaabbbbbb:18,aaaabbbbbbbb:16,aaabbbb:5,aaabbbbb:5,aabbbbbb:3,bbaaaa:3,aabbbbb:3,aaabbbbbbbb:2,aabbb:2,bbbbaa:2,aabbbbcc:2,aaabbb:2,ab:2,bbcccc:2,aaabbbbbbb:2,aab:2,abbb:1,aaaabb:1,bbb:1,bbaa:1,abba:1,cccc:1,cccaa:1,aabbbbbbbb:1,bba:1,a:1,aabbcc:1
308	abb,aabbbb,aaabbbbbb	aaaabbbbbbbb:27,aaaabbbbbbb:14,aaaabbbbbb:6,aaaabbbbbbbbb:6,aaaabbbbb:3,bbbaaaaaa:2,aaabbbbbbbbb:2,aaabbbbbbbb:2,aaaabbbb:2,bbbcccccc:2,bbbbbbaaa:1,aaaaabbbbbbbbbb:1,aaab:1,abab:1,bab:1,aaaabbbbbbbc:1,aabbaabb:1,aaaaa:1,cccaaaaaa:1,bbbaaaaa:1,ab:1,aaaabbbbbbbbbbbbb:1,bbba:1,aaabbb:1,b:1,aaaaabbbbb:1
309	abb,aabbbb,aaabbbbbb,aaaabbbbbbbb	aaaaabbbbbbbbbb:40,aaaaabbbbbbbbb:6,aaaaabbbbbbbb:3,aaaaaabbbbbbbbbbbb:3,aaaabbbbbb:2,bbbbcccccccc:2,aaaaabbbbbb:2,bbbbaaaaaaaaa:1,aaaaaabbbbbbbb:1,aaaaaaaabbbbbbbbbbbbb:1,aaaaaaabbbbbbbbbb:1,bbbbbbbbaaaa:1,bbbbaaaaaaaa:1,aabbbbb:1,aaaaaaaabbbbbbbb:1,aaaaabbbbbbb:1,baba:1,bab:1,bac:1,aaaabbbb:1,abababab:1,aaaaabbbbbbbbbbb:1,bbbbaaaaac:1,ab:1,bbbbaaaaaaa:1,bba:1,aaaaabbbbbbbbbbbbbbb:1,abbb:1,aaabb:1,c:1,aaaaaabbbbbbbbbb:1
310	abb,aabbbb,aaabbbbbb,aaaabbbbbbbb,aaaaabbbbbbbbbb	aaaaaabbbbbbbbbbbb:44,aaaaaabbbbbbbbbbb:6,aaaaaabbbbbbbbb:3,aaaaabbbbbbbb:2,bbbbbaaaaaaaaaa:2,aaaaaaabbbbbbbbbbbbbb:2,aabbb:2,aaaaaaabbbbbbbbb:1,aaaabbbbbbbbbbb:1,babababababbbbb:1,abbbbbbbbbbbbbb:1,aaaaaabbbbbbbbbbbbbb:1,bbbbbcccccccc:1,aaaaabbbbbbbbb:1,cac:1,aaaaabbbbbbb:1,aaaaaabbbbbb:1,cccaaaab:1,aaaaabbbbbabbba:1,bbbbbccccccccccc:1,aaaaaaaa:1,bbbbbaaaaaaaa:1,aaaaaabbbbbbbbbb:1,c:1,abbbabbb:1,baa:1,aaaaaabbbbbbbbbbbbbbbbbbbb:1,ab:1
311	abb,aabbbb,aaabbbbbb,aaaabbbbbbbb,aaaaabbbbbbbbbb,aaaaaabbbbbbbbbbbb	aaaaaaabbbbbbbbbbbbbb:42,aaaaaaabbbbbbbbbbbbb:9,aaaaaaabbbbbbbbbbbb:2,aaaaaaabbbbbbbbbbb:2,aaaaaabbbbbbbbbb:2,aaaaaabbbbbbbbbbbbb:2,aaaaaaaabbbbbbbbbb:1,aabbaabbaabbbbbbbb:1,aaaaaaabbbbbbbbbbbbbbb:1,bbbbbbaaaaaaaaaaaa:1,aaaaaaaabbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaab:1,aaaaaaaaabbbbbbbbbbbbbbbb:1,bbbbbbcccccccccc:1,aaaaaaaaabbbbbbb:1,ccc:1,aaaaaaabbbbbbb:1,aaaaaabbbbbaaaa:1,aaaaabbbbbbabbbba:1,bbbbbcccccccccccc:1,bbbbbbaaaaaaaaaa:1,abbbbaaa:1,bbb:1,aaaaaaabbbbbbbbbbbbbbbbbbbbbbbb:1,bbbaa:1,aaaaaaabbbbbbbb:1,abbbb:1,bb:1,aaaaaabbbbbbbbbbbbbb:1
